,,,,Call initiation Timestamp Date,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01
22,27915,Pizza Joint,ES-12,2026-04-02,1,0,1,1,0,0,0%,100%,100%,0.0%,8,1,7,7,0,0,13%,88%,88%,0.0%,3,2,1,1,0,0,67%,33%,33%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,7,0,7,6,1,0,0%,100%,86%,14.3%,11,2,9,9,0,1,18%,82%,82%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,4,0,4,3,1,0,0%,100%,75%,25.0%,5,2,3,3,0,0,40%,60%,60%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%
23,24122,Luigi's Cafe Pizza & Pasta,ES-12,2026-04-02,1,1,0,0,0,0,100%,0%,0%,,2,2,0,0,0,0,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,100%,0%,0%,,1,1,0,0,0,0,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20674,Pizza Plus Fried Chicken,ES-12,2026-05-13,9,1,8,8,0,0,11%,89%,89%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1840,Palm Pizza,ES-12,2025-10-20,11,0,11,11,0,0,0%,100%,100%,0.0%,18,1,17,17,0,1,6%,94%,94%,0.0%,23,1,22,22,0,0,4%,96%,96%,0.0%,22,0,22,22,0,0,0%,100%,100%,0.0%,28,1,27,27,0,0,4%,96%,96%,0.0%,25,1,24,24,0,0,4%,96%,96%,0.0%,21,0,21,19,2,0,0%,100%,90%,9.5%,26,1,25,25,0,0,4%,96%,96%,0.0%,17,2,15,14,1,0,12%,88%,82%,6.7%,16,1,15,15,0,1,6%,94%,94%,0.0%,25,1,24,24,0,0,4%,96%,96%,0.0%,43,8,35,34,1,1,19%,81%,79%,2.9%,36,2,34,32,2,0,6%,94%,89%,5.9%,24,4,20,20,0,1,17%,83%,83%,0.0%
26,15797,Pizza Rustica South Beach,ES-12,2025-11-21,1,0,1,1,0,0,0%,100%,100%,0.0%,6,0,6,6,0,1,0%,100%,100%,0.0%,7,0,7,7,0,1,0%,100%,100%,0.0%,11,0,11,10,1,2,0%,100%,91%,9.1%,6,0,6,6,0,0,0%,100%,100%,0.0%,11,0,11,11,0,1,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,9,1,8,8,0,2,11%,89%,89%,0.0%,4,0,4,4,0,1,0%,100%,100%,0.0%,7,0,7,7,0,2,0%,100%,100%,0.0%,8,0,8,8,0,1,0%,100%,100%,0.0%,23,2,21,19,2,2,9%,91%,83%,9.5%,11,3,8,8,0,2,27%,73%,73%,0.0%,7,0,7,7,0,1,0%,100%,100%,0.0%
27,14324,Piccola Italia,ES-12,2026-05-14,1,0,1,1,0,1,0%,100%,100%,0.0%,28,24,4,4,0,0,86%,14%,14%,0.0%,25,25,0,0,0,0,100%,0%,0%,,16,12,4,4,0,0,75%,25%,25%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,14085,Speederia Pizzeria,ES-12,2026-03-31,2,0,2,2,0,0,0%,100%,100%,0.0%,10,1,9,9,0,0,10%,90%,90%,0.0%,5,0,5,5,0,2,0%,100%,100%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,15,4,11,10,1,0,27%,73%,67%,9.1%,7,0,7,7,0,1,0%,100%,100%,0.0%,28,4,24,24,0,0,14%,86%,86%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,7,1,6,6,0,0,14%,86%,86%,0.0%,16,1,15,14,1,0,6%,94%,88%,6.7%,9,3,6,6,0,0,33%,67%,67%,0.0%,9,2,7,7,0,0,22%,78%,78%,0.0%,8,2,6,6,0,0,25%,75%,75%,0.0%,13,1,12,12,0,1,8%,92%,92%,0.0%
29,13394,Angela's Pizzeria,ES-12,2025-10-03,4,2,2,2,0,0,50%,50%,50%,0.0%,22,1,21,21,0,1,5%,95%,95%,0.0%,14,0,14,14,0,1,0%,100%,100%,0.0%,10,1,9,9,0,0,10%,90%,90%,0.0%,25,1,24,24,0,1,4%,96%,96%,0.0%,30,1,29,29,0,2,3%,97%,97%,0.0%,16,1,15,15,0,2,6%,94%,94%,0.0%,18,0,18,18,0,2,0%,100%,100%,0.0%,31,0,31,31,0,1,0%,100%,100%,0.0%,12,2,10,10,0,0,17%,83%,83%,0.0%,7,1,6,6,0,0,14%,86%,86%,0.0%,35,6,29,29,0,3,17%,83%,83%,0.0%,22,3,19,19,0,2,14%,86%,86%,0.0%,33,2,31,30,1,4,6%,94%,91%,3.2%
30,114144,Villa Lucia's,ES-12,2026-04-30,7,7,0,0,0,0,100%,0%,0%,,23,23,0,0,0,0,100%,0%,0%,,12,12,0,0,0,0,100%,0%,0%,,33,33,0,0,0,0,100%,0%,0%,,24,24,0,0,0,0,100%,0%,0%,,38,38,0,0,0,0,100%,0%,0%,,28,28,0,0,0,0,100%,0%,0%,,43,43,0,0,0,0,100%,0%,0%,,13,13,0,0,0,0,100%,0%,0%,,16,14,2,2,0,1,88%,13%,13%,0.0%,21,21,0,0,0,0,100%,0%,0%,,21,21,0,0,0,0,100%,0%,0%,,25,25,0,0,0,0,100%,0%,0%,,26,19,7,6,1,0,73%,27%,23%,14.3%
31,114068,407 Pizza,ES-12,2026-05-03,,,,,,,,,,,20,1,19,19,0,0,5%,95%,95%,0.0%,7,1,6,6,0,0,14%,86%,86%,0.0%,9,3,6,6,0,0,33%,67%,67%,0.0%,5,0,5,5,0,0,0%,100%,100%,0.0%,4,1,3,3,0,1,25%,75%,75%,0.0%,10,0,10,10,0,0,0%,100%,100%,0.0%,10,0,10,10,0,0,0%,100%,100%,0.0%,8,0,8,8,0,0,0%,100%,100%,0.0%,,,,,,,,,,,10,0,10,10,0,1,0%,100%,100%,0.0%,3,0,3,3,0,1,0%,100%,100%,0.0%,1,1,0,0,0,0,100%,0%,0%,,2,2,0,0,0,0,100%,0%,0%,
32,114035,Happy Pappy's Pizza N Wings,ES-12,2026-05-06,,,,,,,,,,,1,0,1,1,0,0,0%,100%,100%,0.0%,4,0,4,3,1,1,0%,100%,75%,25.0%,,,,,,,,,,,5,5,0,0,0,0,100%,0%,0%,,,,,,,,,,,,1,1,0,0,0,0,100%,0%,0%,,15,0,15,15,0,2,0%,100%,100%,0.0%,11,1,10,10,0,1,9%,91%,91%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,113982,St. Lucas Pizza & Mexican Grill,ES-12,2026-04-13,,,,,,,,,,,1,0,1,1,0,0,0%,100%,100%,0.0%,13,1,12,12,0,0,8%,92%,92%,0.0%,11,1,10,10,0,1,9%,91%,91%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,8,0,8,7,1,0,0%,100%,88%,12.5%,11,0,11,11,0,0,0%,100%,100%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%
34,113896,Laras Pizzeria on Bellaire,ES-12,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,8,0,0,0%,100%,100%,0.0%,26,8,18,18,0,0,31%,69%,69%,0.0%,18,7,11,11,0,0,39%,61%,61%,0.0%,13,2,11,11,0,0,15%,85%,85%,0.0%
35,113867,Laras Pizzeria on Sheldon Rd.,ES-12,2026-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,5,0,0,17%,83%,83%,0.0%,10,3,7,6,1,0,30%,70%,60%,14.3%,18,5,13,12,1,0,28%,72%,67%,7.7%,33,3,30,29,1,1,9%,91%,88%,3.3%
36,113816,Best Bites Pizza,ES-12,2026-03-25,1,1,0,0,0,0,100%,0%,0%,,16,16,0,0,0,0,100%,0%,0%,,6,6,0,0,0,0,100%,0%,0%,,4,4,0,0,0,0,100%,0%,0%,,10,10,0,0,0,0,100%,0%,0%,,6,6,0,0,0,0,100%,0%,0%,,9,9,0,0,0,0,100%,0%,0%,,10,10,0,0,0,0,100%,0%,0%,,4,4,0,0,0,0,100%,0%,0%,,8,8,0,0,0,0,100%,0%,0%,,12,12,0,0,0,0,100%,0%,0%,,10,10,0,0,0,0,100%,0%,0%,,7,7,0,0,0,0,100%,0%,0%,,11,11,0,0,0,0,100%,0%,0%,
37,113741,Joe's Pizza,ES-12,2026-03-18,8,0,8,8,0,0,0%,100%,100%,0.0%,19,0,19,19,0,2,0%,100%,100%,0.0%,35,29,6,6,0,0,83%,17%,17%,0.0%,10,1,9,9,0,2,10%,90%,90%,0.0%,32,14,18,17,1,1,44%,56%,53%,5.6%,15,0,15,15,0,2,0%,100%,100%,0.0%,24,5,19,19,0,4,21%,79%,79%,0.0%,14,0,14,14,0,0,0%,100%,100%,0.0%,10,0,10,10,0,0,0%,100%,100%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,20,1,19,19,0,1,5%,95%,95%,0.0%,32,19,13,13,0,2,59%,41%,41%,0.0%,20,3,17,15,2,0,15%,85%,75%,11.8%,29,11,18,17,1,0,38%,62%,59%,5.6%
38,113731,Dubai Grills & Pizza,ES-12,2026-03-11,8,0,8,8,0,0,0%,100%,100%,0.0%,7,0,7,6,1,0,0%,100%,86%,14.3%,11,2,9,9,0,0,18%,82%,82%,0.0%,16,5,11,10,1,0,31%,69%,63%,9.1%,4,0,4,4,0,0,0%,100%,100%,0.0%,9,1,8,8,0,0,11%,89%,89%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,9,0,9,8,1,2,0%,100%,89%,11.1%,8,0,8,8,0,2,0%,100%,100%,0.0%,13,1,12,12,0,0,8%,92%,92%,0.0%,6,2,4,4,0,0,33%,67%,67%,0.0%,11,3,8,8,0,2,27%,73%,73%,0.0%,8,0,8,8,0,3,0%,100%,100%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%
39,113475,Chicago's Pizza Kitchen,ES-12,2026-01-26,1,0,1,1,0,0,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,8,0,8,8,0,0,0%,100%,100%,0.0%,15,1,14,14,0,0,7%,93%,93%,0.0%,5,0,5,5,0,0,0%,100%,100%,0.0%,8,0,8,8,0,0,0%,100%,100%,0.0%,10,0,10,10,0,1,0%,100%,100%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,5,1,4,4,0,0,20%,80%,80%,0.0%,11,1,10,10,0,0,9%,91%,91%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%
40,113406,Mr Pizza,ES-12,2026-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,8,8,0,0,11%,89%,89%,0.0%,27,7,20,19,1,0,26%,74%,70%,5.0%,19,3,16,16,0,0,16%,84%,84%,0.0%,12,1,11,11,0,0,8%,92%,92%,0.0%
41,113402,Blessed Pizza & Wings,ES-12,2026-04-16,,,,,,,,,,,,,,,,,,,,,2,0,2,2,0,0,0%,100%,100%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,,,,,,,,,,,1,0,1,1,0,0,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,6,1,5,5,0,1,17%,83%,83%,0.0%,3,0,3,3,0,1,0%,100%,100%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,8,0,8,7,1,0,0%,100%,88%,12.5%,10,0,10,10,0,2,0%,100%,100%,0.0%
42,112998,Canadian Pizza,ES-12,2025-12-30,4,0,4,4,0,0,0%,100%,100%,0.0%,9,1,8,8,0,0,11%,89%,89%,0.0%,25,2,23,23,0,0,8%,92%,92%,0.0%,11,1,10,9,1,0,9%,91%,82%,10.0%,12,1,11,11,0,0,8%,92%,92%,0.0%,16,2,14,14,0,1,13%,88%,88%,0.0%,15,3,12,12,0,0,20%,80%,80%,0.0%,11,0,11,11,0,0,0%,100%,100%,0.0%,12,0,12,12,0,0,0%,100%,100%,0.0%,23,4,19,19,0,0,17%,83%,83%,0.0%,47,3,44,44,0,0,6%,94%,94%,0.0%,15,5,10,10,0,0,33%,67%,67%,0.0%,34,2,32,32,0,0,6%,94%,94%,0.0%,13,1,12,12,0,0,8%,92%,92%,0.0%
43,112730,Ohio State Pizza & Wings,ES-12,2025-08-12,38,0,38,37,1,4,0%,100%,97%,2.6%,63,1,62,62,0,2,2%,98%,98%,0.0%,54,7,47,47,0,1,13%,87%,87%,0.0%,48,4,44,44,0,1,8%,92%,92%,0.0%,81,6,75,72,3,1,7%,93%,89%,4.0%,97,4,93,92,1,1,4%,96%,95%,1.1%,87,5,82,81,1,1,6%,94%,93%,1.2%,68,4,64,64,0,0,6%,94%,94%,0.0%,78,5,73,71,2,3,6%,94%,91%,2.7%,66,2,64,64,0,2,3%,97%,97%,0.0%,65,6,59,59,0,1,9%,91%,91%,0.0%,92,19,73,72,1,1,21%,79%,78%,1.4%,117,10,107,107,0,7,9%,91%,91%,0.0%,97,9,88,88,0,6,9%,91%,91%,0.0%
44,112460,Saruzzos New York Pizzeria,ES-12,2026-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0%,100%,100%,0.0%,9,2,7,7,0,1,22%,78%,78%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,14,0,14,14,0,1,0%,100%,100%,0.0%
45,110746,Chicago Deep Dish Pizza,ES-12,2026-05-06,6,0,6,6,0,1,0%,100%,100%,0.0%,30,1,29,28,1,1,3%,97%,93%,3.4%,46,3,43,43,0,1,7%,93%,93%,0.0%,38,6,32,32,0,0,16%,84%,84%,0.0%,5,2,3,3,0,0,40%,60%,60%,0.0%,11,1,10,10,0,0,9%,91%,91%,0.0%,35,3,32,30,2,1,9%,91%,86%,6.3%,32,3,29,27,2,0,9%,91%,84%,6.9%,23,1,22,22,0,2,4%,96%,96%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,110266,Otara Kitchen,ES-12,2025-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,0,0,0%,100%,100%,0.0%,7,1,6,6,0,0,14%,86%,86%,0.0%,9,1,8,8,0,0,11%,89%,89%,0.0%,15,1,14,14,0,3,7%,93%,93%,0.0%,9,0,9,9,0,3,0%,100%,100%,0.0%
47,109389,Wings Pizza y mas,ES-12,2026-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0%,100%,100%,0.0%,7,1,6,6,0,0,14%,86%,86%,0.0%,6,1,5,5,0,2,17%,83%,83%,0.0%,5,1,4,4,0,0,20%,80%,80%,0.0%,8,1,7,7,0,2,13%,88%,88%,0.0%
48,109232,Vinny's Pizza,ES-12,2026-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,21,21,0,3,13%,88%,88%,0.0%,49,18,31,30,1,0,37%,63%,61%,3.2%,105,51,54,52,2,1,49%,51%,50%,3.7%,133,32,101,100,1,7,24%,76%,75%,1.0%,82,37,45,45,0,2,45%,55%,55%,0.0%
49,107987,Lake Worth Pizza,ES-12,2026-02-02,,,,,,,,,,,4,1,3,3,0,0,25%,75%,75%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,9,3,6,6,0,0,33%,67%,67%,0.0%,10,0,10,10,0,0,0%,100%,100%,0.0%,8,1,7,7,0,0,13%,88%,88%,0.0%,5,0,5,5,0,0,0%,100%,100%,0.0%,15,3,12,12,0,1,20%,80%,80%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,6,1,5,4,1,0,17%,83%,67%,20.0%,12,8,4,4,0,0,67%,33%,33%,0.0%,6,1,5,5,0,0,17%,83%,83%,0.0%,,,,,,,,,,
50,106636,Pizza Cafe LA,ES-12,,3,3,0,0,0,0,100%,0%,0%,,12,12,0,0,0,0,100%,0%,0%,,11,11,0,0,0,0,100%,0%,0%,,7,7,0,0,0,0,100%,0%,0%,,5,5,0,0,0,0,100%,0%,0%,,10,10,0,0,0,0,100%,0%,0%,,8,8,0,0,0,0,100%,0%,0%,,5,5,0,0,0,0,100%,0%,0%,,3,3,0,0,0,0,100%,0%,0%,,7,6,1,1,0,0,86%,14%,14%,0.0%,6,6,0,0,0,0,100%,0%,0%,,8,8,0,0,0,0,100%,0%,0%,,6,4,2,2,0,0,67%,33%,33%,0.0%,13,13,0,0,0,0,100%,0%,0%,
51,103143,PizzaRoni Albany,ES-12,2025-05-12,7,0,7,7,0,0,0%,100%,100%,0.0%,10,0,10,10,0,0,0%,100%,100%,0.0%,17,0,17,17,0,1,0%,100%,100%,0.0%,22,0,22,22,0,1,0%,100%,100%,0.0%,22,0,22,22,0,2,0%,100%,100%,0.0%,38,0,38,37,1,1,0%,100%,97%,2.6%,23,1,22,22,0,1,4%,96%,96%,0.0%,16,0,16,15,1,1,0%,100%,94%,6.3%,25,0,25,22,3,1,0%,100%,88%,12.0%,18,0,18,17,1,0,0%,100%,94%,5.6%,16,1,15,14,1,0,6%,94%,88%,6.7%,18,7,11,10,1,0,39%,61%,56%,9.1%,18,1,17,17,0,1,6%,94%,94%,0.0%,14,0,14,13,1,1,0%,100%,93%,7.1%
52,102803,Giacomo's Pizza & Restaurant,ES-12,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6,17,17,0,0,26%,74%,74%,0.0%,31,10,21,21,0,1,32%,68%,68%,0.0%,30,11,19,18,1,1,37%,63%,60%,5.3%,29,5,24,23,1,1,17%,83%,79%,4.2%
,,,,,182,22,160,159,1,6,12%,88%,87%,0.6%,484,97,387,384,3,12,20%,80%,79%,0.8%,529,128,401,399,2,16,24%,76%,75%,0.5%,511,94,417,411,6,14,18%,82%,80%,1.4%,482,82,400,392,8,10,17%,83%,81%,2.0%,544,75,469,463,6,22,14%,86%,85%,1.3%,533,81,452,442,10,18,15%,85%,83%,2.2%,548,82,466,459,7,17,15%,85%,84%,1.5%,472,39,433,424,9,14,8%,92%,90%,2.1%,404,60,344,341,3,19,15%,85%,84%,0.9%,610,108,502,493,9,13,18%,82%,81%,1.8%,853,271,582,570,12,21,32%,68%,67%,2.1%,950,168,782,765,17,37,18%,82%,81%,2.2%,863,184,679,669,10,37,21%,79%,78%,1.5%
